k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
10,2,2,kmedoids_dirac_no_wc_2,no_wc,3345.820727395488,6.360158988748294,2819.7614365327045,536.0158988748294,346,3,0.0,0.0,109.5,0.0,224.0,0.0,0.0,341.65118722907596,66.56027855982435,323.87764369362117,64.70319207412541,0.7469180646180893,2.951855912656145,0.0,3.890123999905073,0.0,1.2220410142412248,1.0313482057422065,0.1975612
10,3,2,kmedoids_dirac_no_wc_2,no_wc,1863.885429799796,3.5431090414596778,1337.826138937012,254.31090414596778,150,3,0.0,0.0,109.5,0.0,256.0,0.0,0.0,311.63701516410674,62.773679229682095,323.87764369362117,64.70319207412541,0.8321126033504302,2.160668997441062,0.0,3.616913231717629,0.0004565323012878515,1.036024679475587,1.0592620937806763,0.3387629
12,1,2,kmedoids_dirac_no_wc_2,no_wc,1096.7854559882978,2.0849084410038126,570.726165125514,108.49084410038124,134,3,0.0,0.0,91.25,0.0,197.0,0.0,0.0,315.22159095733025,61.84939723285251,323.87764369362117,64.70319207412541,0.8525149595314655,2.541316703773203,0.0,3.3355056223069117,0.0,0.8635139335367081,1.1434008984267894,0.4399316
12,2,2,kmedoids_dirac_no_wc_2,no_wc,737.4311679167371,1.401802383733751,211.3718770539532,40.18023837337509,155,3,0.0,0.0,91.25,0.0,156.0,0.0,0.0,318.3876563720474,60.146709358757214,323.87764369362117,64.70319207412541,0.8697708281209544,3.087660814820543,0.0,2.923082242385219,0.0,0.7600000000000001,1.2043533767335062,0.2493525
12,3,2,kmedoids_dirac_no_wc_2,no_wc,2369.155311357877,4.503589904233517,1843.0960204950932,350.35899042335177,221,3,0.0,0.0,91.25,0.0,125.0,0.0,0.0,313.54682120205223,63.12106060883402,323.87764369362117,64.70319207412541,0.7912298474500551,2.184532398233527,0.0,3.7220286106044624,0.0,1.0224857289944658,1.0852662901250656,0.4275813
14,1,2,kmedoids_dirac_no_wc_2,no_wc,2814.2075405416745,5.349601441172391,2288.1482496788904,434.960144117239,337,3,0.0,0.0,78.21428571428571,0.0,197.0,0.0,0.0,332.56531802551245,67.44109344306509,323.87764369362117,64.70319207412541,0.7464875296406284,2.21893917599659,0.0,4.259461256099318,0.0,0.8022243083497557,1.068220694695463,0.2677209
14,2,2,kmedoids_dirac_no_wc_2,no_wc,720.8740701207412,1.3703285592360583,194.8147792579573,37.03285592360584,144,3,0.0,0.0,78.21428571428571,0.0,156.0,0.0,0.0,321.54054261192056,61.03830249127971,323.87764369362117,64.70319207412541,0.8696600940326945,3.0563401735138385,0.0,3.028852137487591,0.0,0.7600000000000001,1.190321633876687,0.2306829
14,3,2,kmedoids_dirac_no_wc_2,no_wc,2104.776272276532,4.001024806204852,1578.716981413748,300.1024806204852,198,3,0.0,0.0,78.21428571428571,0.0,161.0,0.0,0.0,316.26431047450797,62.38438473927749,323.87764369362117,64.70319207412541,0.8128465012224313,2.491417417180657,0.0,3.503166556944031,0.0,0.8482886800102041,1.0879187663724326,1.6334148
16,1,2,kmedoids_dirac_no_wc_2,no_wc,2877.227004905741,5.469396805418708,2351.1677140429574,446.9396805418708,328,3,0.0,0.0,68.4375,0.0,128.0,0.0,0.0,321.39900273438064,65.50933075018999,323.87764369362117,64.70319207412541,0.7564623716712239,2.0569519218016135,0.0,4.1000657223509345,0.0,0.811101737935422,1.0650196901099367,0.3986338
16,2,2,kmedoids_dirac_no_wc_2,no_wc,733.4694541273585,1.3942714573568382,207.41016326457463,39.42714573568382,133,3,0.0,0.0,68.4375,0.0,156.0,0.0,0.0,324.170007655814,61.8893918372017,323.87764369362117,64.70319207412541,0.8694838889556209,3.00645329975254,0.0,3.1379051580124555,0.0,0.7600000000000001,1.1735834578107311,0.2607168
16,3,2,kmedoids_dirac_no_wc_2,no_wc,2205.8665662546778,4.19319001597113,1679.8072753918939,319.3190015971129,221,3,0.0,0.0,68.4375,0.0,153.0,0.0,0.0,312.47823801083354,62.55126941928407,323.87764369362117,64.70319207412541,0.8002236967576518,2.250976487239632,0.0,3.623427647416818,0.0,0.95334004410488,1.0960944100188863,0.2685205
18,1,2,kmedoids_dirac_no_wc_2,no_wc,1422.8813224130176,2.704792686161604,896.8220315502338,170.4792686161604,198,3,0.0,0.0,60.833333333333336,0.0,131.0,0.0,0.0,319.9008392359288,64.04152500614008,323.87764369362117,64.70319207412541,0.8035785762085675,2.2814677846012166,0.0,3.750931242633129,0.0,0.7600000000000001,1.1735974822287254,1.2952917
18,2,2,kmedoids_dirac_no_wc_2,no_wc,1748.3597012821938,3.3235031329163083,1222.30041041941,232.35031329163084,212,3,0.0,0.0,60.833333333333336,0.0,164.0,0.0,0.0,335.4103089376432,65.69040084618814,323.87764369362117,64.70319207412541,0.7895051616058342,2.7618976704621447,0.0,3.773779431057681,0.0,0.8994901066405347,1.1486963047052303,0.3621873
18,3,2,kmedoids_dirac_no_wc_2,no_wc,2099.797880718202,3.9915612502049864,1573.7385898554182,299.1561250204986,203,3,0.0,0.0,60.833333333333336,0.0,136.0,0.0,0.0,313.08632292679044,62.57923753246062,323.87764369362117,64.70319207412541,0.8049428678285682,2.2728314337402056,0.0,3.6122741013040782,0.0,0.8862895471109278,1.0989026426915292,0.2352095
